{\rtf1\ansi\ansicpg1252\cocoartf2580
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww25400\viewh13280\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Algorithm,Classifier,Transform method,Dataset,ConfigurationFile,Train_time_ms,Test_time_ms,Hamming Loss,Subset Accuracy,Example-Based Precision,Example-Based Recall,Example-Based F Measure,Example-Based Accuracy,Example-Based Specificity,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Micro-averaged Specificity,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,Macro-averaged Specificity,Average Precision,Coverage,OneError,IsError,ErrorSetSize,Ranking Loss,Mean Average Precision,Geometric Mean Average Precision,Mean Average Interpolated Precision,Geometric Mean Average Interpolated Precision,Micro-averaged AUC,Macro-averaged AUC,Logarithmic Loss\
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.ArithmeticTransformation,miml_text_data_iterative_5_train_1.arff,toml-ps-a-text.config,787,48,0.054779806659506,0.769423558897243,0.865914786967418,0.851294903926483,0.848370927318296,0.828529657477026,0.971136173767753,0.849775784753363,0.81505376344086,0.83205268935236,0.971219931271478,0.820190053728923,0.764022003604945,0.787962612310512,0.968738060455432,0.904015992361857,0.583959899749373,0.145363408521303,0.180451127819549,0.463659147869674,0.062406015037594,0.736250102308748,0.731739253624398,0.776617746324754,0.773605364768871,0.915034826146399,0.892537876748811,4.16848782881402\
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.ArithmeticTransformation,miml_text_data_iterative_5_train_2.arff,toml-ps-a-text.config,784,60,0.055853920515575,0.764411027568922,0.843358395989975,0.850041771094403,0.838262322472849,0.819548872180451,0.965747702589808,0.827956989247312,0.835140997830803,0.831533477321814,0.965694682675815,0.781916464950651,0.800821568580025,0.78983549944809,0.964192031380541,0.892105263157895,0.681704260651629,0.152882205513784,0.180451127819549,0.548872180451128,0.080952380952381,0.743892993495679,0.742396580737474,0.781212626871941,0.779254054108543,0.917364927463974,0.904137263605636,4.22174734844452\
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.ArithmeticTransformation,miml_text_data_iterative_5_train_3.arff,toml-ps-a-text.config,546,44,0.054917444364681,0.771356783919598,0.85929648241206,0.846314907872697,0.843802345058627,0.82537688442211,0.968257956448911,0.836601307189543,0.831168831168831,0.833876221498371,0.967728055077453,0.812902242185704,0.815956999356647,0.811682233332554,0.966632291058082,0.899132567599904,0.648241206030151,0.14070351758794,0.173366834170854,0.49748743718593,0.074120603015075,0.778573240303575,0.773594614692985,0.808082593286679,0.805194883885687,0.928955152707304,0.914181186069128,3.64371135507087\
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.ArithmeticTransformation,miml_text_data_iterative_5_train_4.arff,toml-ps-a-text.config,777,44,0.04737975592247,0.804020100502513,0.880653266331658,0.864740368509213,0.864740368509213,0.849246231155779,0.974455611390285,0.866666666666667,0.844155844155844,0.855263157894737,0.974182444061962,0.841750826812939,0.798323212309401,0.816811085719858,0.973309128036348,0.909543750498524,0.597989949748744,0.125628140703518,0.160804020100503,0.457286432160804,0.065033500837521,0.809041788183504,0.806903391095142,0.837535073274549,0.836238848981442,0.937277868431052,0.915829182333732,3.10237533849777\
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.ArithmeticTransformation,miml_text_data_iterative_5_train_5.arff,toml-ps-a-text.config,772,45,0.04750175932442,0.780788177339901,0.866995073891626,0.866995073891626,0.857553366174056,0.838259441707717,0.972249589490969,0.854978354978355,0.853131749460043,0.854054054054054,0.971836906263136,0.839521718254437,0.816276878900028,0.825584538104425,0.969813664517676,0.906744076941121,0.568965517241379,0.133004926108374,0.167487684729064,0.438423645320197,0.066009852216749,0.77903099005885,0.777150848526718,0.814334906922787,0.812245934149129,0.931594577099658,0.911393793535969,3.36994785233355\
}
