Algorithm,Classifier,Transform method,Dataset,ConfigurationFile,Train_time_ms,Test_time_ms,Hamming Loss,Subset Accuracy,Example-Based Precision,Example-Based Recall,Example-Based F Measure,Example-Based Accuracy,Example-Based Specificity,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Micro-averaged Specificity,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,Macro-averaged Specificity,Average Precision,Coverage,OneError,IsError,ErrorSetSize,Ranking Loss,Mean Average Precision,Geometric Mean Average Precision,Mean Average Interpolated Precision,Geometric Mean Average Interpolated Precision,Micro-averaged AUC,Macro-averaged AUC,Logarithmic Loss
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_1.arff,tomi-br-simplemi-mm-text.config,7704,2690,0.051915503043323,0.714285714285714,0.825563909774436,0.864243943191311,0.830409356725146,0.801587301587301,0.969507101086048,0.847826086956522,0.838709677419355,0.843243243243243,0.969931271477663,0.824118796923816,0.775826565013643,0.797662332399852,0.966953805083539,0.899304809643155,0.68421052631579,0.140350877192982,0.190476190476191,0.56140350877193,0.07406015037594,0.77094382763576,0.763967882698218,0.78654935199198,0.780546175552064,0.916799689613125,0.880920807127037,3.01114833936627
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_2.arff,tomi-br-simplemi-mm-text.config,9292,2607,0.053705692803437,0.701754385964912,0.81203007518797,0.841269841269841,0.812113617376775,0.784461152882206,0.969924812030075,0.84326710816777,0.828633405639913,0.835886214442013,0.969554030874786,0.812878039190488,0.810458536152951,0.810417977733646,0.968504234270587,0.889133548156105,0.731829573934837,0.150375939849624,0.192982456140351,0.614035087719298,0.086549707602339,0.758321117654256,0.748512942483696,0.781306314770614,0.775066863036244,0.908655116217634,0.883603446621002,3.12006911812557
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_3.arff,tomi-br-simplemi-mm-text.config,8985,2473,0.054199569274946,0.701005025125628,0.786850921273032,0.829145728643216,0.796566164154104,0.772613065326633,0.9714405360134,0.851015801354402,0.816017316017316,0.833149171270718,0.971600688468158,0.819109473658022,0.739861577818192,0.772287897944314,0.969151102522304,0.887461115099306,0.708542713567839,0.165829145728643,0.185929648241206,0.603015075376884,0.086599664991625,0.73371736483209,0.724616859375855,0.757612758845886,0.751861650874168,0.909289756428311,0.879098338302191,3.46139435703047
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_4.arff,tomi-br-simplemi-mm-text.config,8039,2334,0.05240488155061,0.71608040201005,0.818676716917923,0.838358458961474,0.815745393634841,0.790410385259632,0.973743718592965,0.860730593607306,0.816017316017316,0.837777777777778,0.973752151462995,0.819576696451622,0.78033400676749,0.795293286459525,0.973318624856873,0.892978782802903,0.773869346733668,0.138190954773869,0.188442211055276,0.663316582914573,0.090075376884422,0.727201538294307,0.712210000434025,0.759016627921022,0.748192644814916,0.897234578387762,0.854882868763819,3.62477435331535
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_5.arff,tomi-br-simplemi-mm-text.config,8601,2859,0.048205489092189,0.738916256157635,0.821018062397373,0.854679802955665,0.826272577996716,0.803776683087028,0.972495894909688,0.85589519650655,0.846652267818575,0.851248642779587,0.972257250945776,0.835165120227243,0.799199891941002,0.812908559514894,0.970319320252135,0.902263664086324,0.67487684729064,0.12807881773399,0.165024630541872,0.541871921182266,0.080459770114943,0.802391589075027,0.798518785986061,0.813289056183102,0.810341024246108,0.91660425047459,0.876609209782128,2.88278913503969
