Algorithm,Classifier,Transform method,Dataset,ConfigurationFile,Train_time_ms,Test_time_ms,Hamming Loss,Subset Accuracy,Example-Based Precision,Example-Based Recall,Example-Based F Measure,Example-Based Accuracy,Example-Based Specificity,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Micro-averaged Specificity,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,Macro-averaged Specificity,Average Precision,Coverage,OneError,IsError,ErrorSetSize,Ranking Loss,Mean Average Precision,Geometric Mean Average Precision,Mean Average Interpolated Precision,Geometric Mean Average Interpolated Precision,Micro-averaged AUC,Macro-averaged AUC,Logarithmic Loss
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLLabelPowerset,miml_text_data_iterative_5_train_1.arff,tomi-lr-simplemi-mm-text.config,1253,384,0.060508413891873,0.761904761904762,0.847953216374269,0.835839598997494,0.832414369256475,0.814118629908104,0.967167919799499,0.830357142857143,0.8,0.814895947426068,0.967353951890034,0.788377110027395,0.735024405339654,0.758192388205605,0.964766414247137,0.880812149421172,0.837092731829574,0.150375939849624,0.215538847117794,0.704260651629073,0.099206349206349,0.739348190499737,0.724524468747136,0.764772861823122,0.751712393110669,0.921858718545616,0.893396223897816,2.71122608393491
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLLabelPowerset,miml_text_data_iterative_5_train_2.arff,tomi-lr-simplemi-mm-text.config,1746,347,0.049051199427139,0.786967418546366,0.861737677527151,0.8734335839599,0.858980785296575,0.840643274853801,0.968838763575606,0.84468085106383,0.86117136659436,0.852846401718582,0.968696397941681,0.824052506378045,0.831467551480278,0.825347060831989,0.966604215723195,0.885078768349446,0.822055137844611,0.145363408521303,0.190476190476191,0.719298245614035,0.100751879699248,0.755378833251373,0.750205305484506,0.784155802127324,0.780823854135551,0.922448402495879,0.901876343859107,3.31645229460089
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLLabelPowerset,miml_text_data_iterative_5_train_3.arff,tomi-lr-simplemi-mm-text.config,1649,284,0.057071069633884,0.766331658291457,0.855527638190955,0.857621440536013,0.84715242881072,0.826214405360134,0.963986599664991,0.821656050955414,0.837662337662338,0.829581993569132,0.963855421686747,0.78682525522097,0.801074449440394,0.791966982237891,0.963177607277045,0.87336085187844,0.914572864321608,0.155778894472362,0.21105527638191,0.771356783919598,0.112227805695142,0.765863450626246,0.757102234309343,0.781474462131139,0.773924269727345,0.924384458054854,0.908600988874305,2.75311230289678
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLLabelPowerset,miml_text_data_iterative_5_train_4.arff,tomi-lr-simplemi-mm-text.config,1501,275,0.053122756640345,0.798994974874372,0.861809045226131,0.865577889447236,0.85678391959799,0.84212730318258,0.966750418760469,0.835470085470086,0.846320346320346,0.840860215053763,0.966867469879518,0.796796197458924,0.792951409167335,0.790966742917888,0.966334939909848,0.896615019542155,0.731155778894472,0.133165829145729,0.170854271356784,0.610552763819096,0.085887772194305,0.733548107274807,0.718552771484815,0.766711703252164,0.75755836110972,0.930587843023299,0.904364007136384,2.68679669256062
MIMLClassifierToMI,miml.classifiers.mi.SimpleMI,miml.classifiers.miml.mimlTOmi.MIMLLabelPowerset,miml_text_data_iterative_5_train_5.arff,tomi-lr-simplemi-mm-text.config,1624,233,0.050316678395496,0.79064039408867,0.864121510673235,0.86576354679803,0.856732348111658,0.839901477832512,0.969458128078818,0.843347639484979,0.848812095032397,0.846071044133477,0.969314838167297,0.813089397620967,0.792499250310318,0.799866672856749,0.967734155036333,0.880298498709829,0.815270935960591,0.150246305418719,0.194581280788177,0.711822660098522,0.103694581280788,0.71764746389839,0.710359315447967,0.73956580360961,0.73257642819126,0.932310434080784,0.911454366824712,2.47673549628098
