Algorithm,Classifier,Transform method,Dataset,ConfigurationFile,Train_time_ms,Test_time_ms,Hamming Loss,Subset Accuracy,Example-Based Precision,Example-Based Recall,Example-Based F Measure,Example-Based Accuracy,Example-Based Specificity,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Micro-averaged Specificity,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,Macro-averaged Specificity,Average Precision,Coverage,OneError,IsError,ErrorSetSize,Ranking Loss,Mean Average Precision,Geometric Mean Average Precision,Mean Average Interpolated Precision,Geometric Mean Average Interpolated Precision,Micro-averaged AUC,Macro-averaged AUC,Logarithmic Loss
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.MinMaxTransformation,miml_text_data_iterative_5_train_1.arff,toml-ps-mm-text.config,1744,115,0.052273540995346,0.774436090225564,0.87593984962406,0.866332497911445,0.86031746031746,0.838345864661654,0.970175438596491,0.847494553376906,0.836559139784946,0.841991341991342,0.969931271477663,0.81681426011998,0.792859890808252,0.803863010732704,0.967952874753244,0.905842980467041,0.616541353383459,0.130325814536341,0.172932330827068,0.488721804511278,0.067794486215539,0.789295394095067,0.783888764736976,0.810021449996114,0.805662651071394,0.921136791929941,0.892660061714832,3.99817213017793
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.MinMaxTransformation,miml_text_data_iterative_5_train_2.arff,toml-ps-mm-text.config,1314,96,0.049767275331185,0.796992481203007,0.867167919799499,0.865079365079365,0.859147869674185,0.843358395989975,0.97109440267335,0.853070175438596,0.843817787418655,0.848418756815703,0.971269296740995,0.832286933108966,0.800427763630074,0.813603894098218,0.969662616446554,0.906349206349207,0.616541353383459,0.132832080200501,0.165413533834586,0.493734335839599,0.069715956558062,0.741150518022199,0.721936629241286,0.787986641879053,0.77547729603544,0.922450727964787,0.893689570861966,3.83824317055253
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.MinMaxTransformation,miml_text_data_iterative_5_train_3.arff,toml-ps-mm-text.config,1958,113,0.060301507537688,0.763819095477387,0.846733668341708,0.833752093802345,0.831658291457286,0.814489112227806,0.964740368509212,0.819565217391304,0.816017316017316,0.817787418655098,0.964285714285714,0.794078550514057,0.780957183971332,0.784966815641108,0.963301005017772,0.891714525005983,0.726130653266332,0.14070351758794,0.188442211055276,0.580402010050251,0.084757118927973,0.757981372966002,0.751394247461577,0.785154728535609,0.781604516593053,0.912244525411479,0.894073324663855,3.9552803980894
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.MinMaxTransformation,miml_text_data_iterative_5_train_4.arff,toml-ps-mm-text.config,1865,99,0.05240488155061,0.78391959798995,0.873115577889447,0.869765494137353,0.861390284757119,0.841708542713568,0.968425460636516,0.84051724137931,0.844155844155844,0.842332613390929,0.96815834767642,0.810483723666461,0.790740297090124,0.795626099502901,0.967016529959668,0.905785873813512,0.592964824120603,0.133165829145729,0.168341708542714,0.462311557788945,0.065326633165829,0.762050206787306,0.75809271056838,0.798589731663562,0.794639567608837,0.922259073399349,0.883645311143668,3.63150988517293
MIMLClassifierToML,mulan.classifier.transformation.PrunedSets,miml.transformation.mimlTOml.MinMaxTransformation,miml_text_data_iterative_5_train_5.arff,toml-ps-mm-text.config,1303,143,0.048205489092189,0.798029556650246,0.860837438423645,0.855911330049261,0.851806239737274,0.838259441707717,0.972906403940887,0.857456140350877,0.844492440604752,0.850924918389554,0.972677595628415,0.81178714458994,0.785604547066692,0.796221537417894,0.971066518837769,0.903266479005395,0.524630541871921,0.147783251231527,0.169950738916256,0.401477832512315,0.061658456486043,0.786342499323096,0.77886575432241,0.814543431548693,0.807893090970533,0.947199986926645,0.918066095091864,2.86104502709669
