Algorithm,Classifier,Transform method,Dataset,ConfigurationFile,Train_time_ms,Test_time_ms,Hamming Loss,Subset Accuracy,Example-Based Precision,Example-Based Recall,Example-Based F Measure,Example-Based Accuracy,Example-Based Specificity,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Micro-averaged Specificity,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,Macro-averaged Specificity,Average Precision,Coverage,OneError,IsError,ErrorSetSize,Ranking Loss,Mean Average Precision,Geometric Mean Average Precision,Mean Average Interpolated Precision,Geometric Mean Average Interpolated Precision,Micro-averaged AUC,Macro-averaged AUC,Logarithmic Loss
MIMLClassifierToMI,miml.classifiers.mi.MISMOWrapper,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_1.arff,tomi-br-mismo-text.config,43789,9273,0.039384174722521,0.771929824561403,0.873015873015873,0.880116959064327,0.865413533834587,0.842522974101922,0.982623224728488,0.906178489702517,0.851612903225806,0.878048780487805,0.982388316151203,0.882034093157416,0.79436438107631,0.83426729488649,0.981438258901777,0.914717348927875,0.604010025062657,0.112781954887218,0.167919799498747,0.453634085213033,0.062447786131997,0.825063443592149,0.818947348941575,0.862447960222253,0.859965546805623,0.917000609688505,0.887901319989043,5.07838322921988
MIMLClassifierToMI,miml.classifiers.mi.MISMOWrapper,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_2.arff,tomi-br-mismo-text.config,40726,9979,0.050841389187254,0.739348370927318,0.818713450292398,0.842522974101921,0.820885547201337,0.800125313283208,0.974018379281537,0.861678004535147,0.824295010845987,0.842572062084257,0.973842195540309,0.806818835422972,0.768804378429605,0.787186634809706,0.972960626701033,0.873021840315074,0.827067669172932,0.165413533834586,0.213032581453634,0.704260651629073,0.101837928153718,0.740256095024194,0.731881432299219,0.805023491889586,0.800792723452682,0.899068603193148,0.870882502565319,6.55573105725501
MIMLClassifierToMI,miml.classifiers.mi.MISMOWrapper,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_3.arff,tomi-br-mismo-text.config,44589,9380,0.050969131371141,0.723618090452261,0.810301507537688,0.829145728643216,0.80929648241206,0.787688442211055,0.977554438860972,0.877358490566038,0.805194805194805,0.839729119638826,0.9776247848537,0.826739584779361,0.740308139264467,0.779725422671966,0.976859342800052,0.866445321847332,0.881909547738693,0.168341708542714,0.231155778894472,0.746231155778894,0.107202680067002,0.758791886363731,0.749383137739691,0.814949398582626,0.810135433125062,0.891409795024253,0.858583741032259,6.57220274326626
MIMLClassifierToMI,miml.classifiers.mi.MISMOWrapper,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_4.arff,tomi-br-mismo-text.config,46535,9714,0.042713567839196,0.756281407035176,0.838986599664992,0.862227805695142,0.838860971524288,0.817629815745394,0.977889447236181,0.883668903803132,0.854978354978355,0.869086908690869,0.9776247848537,0.858432120579629,0.815200022479365,0.832705293865859,0.976001706639294,0.893469330780889,0.723618090452261,0.135678391959799,0.173366834170854,0.567839195979899,0.087018425460637,0.765547014382822,0.75583256783856,0.836529536173851,0.833410080697846,0.916301569916028,0.895600864559329,5.50769104256044
MIMLClassifierToMI,miml.classifiers.mi.MISMOWrapper,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_text_data_iterative_5_train_5.arff,tomi-br-mismo-text.config,41780,9477,0.03835327234342,0.768472906403941,0.857553366174056,0.879310344827586,0.857224958949097,0.834770114942529,0.979967159277504,0.893333333333333,0.868250539956803,0.880613362541073,0.979823455233291,0.848751237581772,0.820444714018904,0.833130509930312,0.979303419662524,0.901014543748534,0.635467980295566,0.130541871921182,0.172413793103448,0.5,0.074302134646962,0.773654628678025,0.767418428591156,0.834259342189098,0.831596319483223,0.924036997595047,0.899874066840714,4.94545376398918
