Algorithm,Classifier,Transform method,Dataset,ConfigurationFile,Train_time_ms,Test_time_ms,Hamming Loss,Subset Accuracy,Macro-averaged Precision,Macro-averaged F-Measure
MIMLClassifierToMI,weka.classifiers.mi.MIDD,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_birds_random_80train.arff,MIMLtoMI_BR_MIDD.config,1490,264,0.10222672064777326,0.0,0.10526315789473684,0.10526315789473684
Algorithm,Classifier,Transform method,Dataset,ConfigurationFile,Train_time_ms(avg),Train_time_ms(std),Test_time_ms(avg),Test_time_ms(std),Hamming Loss,Hamming Loss Std,Subset Accuracy,Subset Accuracy Std,Macro-averaged Precision,Macro-averaged Precision Std,Macro-averaged Precision-BRCR,Macro-averaged Precision-BRCR Std,Macro-averaged Precision-PAWR,Macro-averaged Precision-PAWR Std,Macro-averaged Precision-PSFL,Macro-averaged Precision-PSFL Std,Macro-averaged Precision-RBNU,Macro-averaged Precision-RBNU Std,Macro-averaged Precision-DEJU,Macro-averaged Precision-DEJU Std,Macro-averaged Precision-OSFL,Macro-averaged Precision-OSFL Std,Macro-averaged Precision-HETH,Macro-averaged Precision-HETH Std,Macro-averaged Precision-CBCH,Macro-averaged Precision-CBCH Std,Macro-averaged Precision-VATH,Macro-averaged Precision-VATH Std,Macro-averaged Precision-HEWA,Macro-averaged Precision-HEWA Std,Macro-averaged Precision-SWTH,Macro-averaged Precision-SWTH Std,Macro-averaged Precision-HAFL,Macro-averaged Precision-HAFL Std,Macro-averaged Precision-WETA,Macro-averaged Precision-WETA Std,Macro-averaged Precision-BHGB,Macro-averaged Precision-BHGB Std,Macro-averaged Precision-GCKI,Macro-averaged Precision-GCKI Std,Macro-averaged Precision-WAVI,Macro-averaged Precision-WAVI Std,Macro-averaged Precision-MGWA,Macro-averaged Precision-MGWA Std,Macro-averaged Precision-STJA,Macro-averaged Precision-STJA Std,Macro-averaged Precision-CONI,Macro-averaged Precision-CONI Std,Macro-averaged F-Measure,Macro-averaged F-Measure Std,Macro-averaged F-Measure-BRCR,Macro-averaged F-Measure-BRCR Std,Macro-averaged F-Measure-PAWR,Macro-averaged F-Measure-PAWR Std,Macro-averaged F-Measure-PSFL,Macro-averaged F-Measure-PSFL Std,Macro-averaged F-Measure-RBNU,Macro-averaged F-Measure-RBNU Std,Macro-averaged F-Measure-DEJU,Macro-averaged F-Measure-DEJU Std,Macro-averaged F-Measure-OSFL,Macro-averaged F-Measure-OSFL Std,Macro-averaged F-Measure-HETH,Macro-averaged F-Measure-HETH Std,Macro-averaged F-Measure-CBCH,Macro-averaged F-Measure-CBCH Std,Macro-averaged F-Measure-VATH,Macro-averaged F-Measure-VATH Std,Macro-averaged F-Measure-HEWA,Macro-averaged F-Measure-HEWA Std,Macro-averaged F-Measure-SWTH,Macro-averaged F-Measure-SWTH Std,Macro-averaged F-Measure-HAFL,Macro-averaged F-Measure-HAFL Std,Macro-averaged F-Measure-WETA,Macro-averaged F-Measure-WETA Std,Macro-averaged F-Measure-BHGB,Macro-averaged F-Measure-BHGB Std,Macro-averaged F-Measure-GCKI,Macro-averaged F-Measure-GCKI Std,Macro-averaged F-Measure-WAVI,Macro-averaged F-Measure-WAVI Std,Macro-averaged F-Measure-MGWA,Macro-averaged F-Measure-MGWA Std,Macro-averaged F-Measure-STJA,Macro-averaged F-Measure-STJA Std,Macro-averaged F-Measure-CONI,Macro-averaged F-Measure-CONI Std
MIMLClassifierToMI,weka.classifiers.mi.MDD,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_birds.arff,MIMLtoMI_BR_MDD.config,79415.8,15799.962245524512,135.2,84.31227668613866,0.09929348257521631,0.0062486261909041165,0.10889894419306186,0.045526673605654114,0.3513021189336979,0.07101997896762893,0.4,0.36800000000000005,0.6476190476190476,0.14093225623582767,0.4,0.20800000000000002,0.6,0.40800000000000003,0.0,0.0,0.0,0.0,0.4666666666666666,0.3475555555555555,0.2,0.15200000000000002,0.75,0.3375,0.26666666666666666,0.13688888888888892,0.7437878787878788,0.1372224012855831,0.6,0.40800000000000003,0.4,0.10800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.20800000000000002,0.0,0.0,0.8,0.35200000000000004,0.1911742505121113,0.034253037453417755,0.2333333333333333,0.17022222222222222,0.37006327006327006,0.12072361227406184,0.0808080808080808,0.008652178349148045,0.6,0.40800000000000003,0.0,0.0,0.0,0.0,0.12080808080808081,0.04551271094786246,0.06666666666666667,0.01688888888888889,0.28295704295704294,0.07677437735092081,0.09333333333333334,0.01176888888888889,0.53783301525237,0.11725515614773988,0.3666666666666666,0.18977777777777777,0.1738095238095238,0.014797052154195012,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.20800000000000002,0.0,0.0,0.30603174603174604,0.08323757117661879
Algorithm,Classifier,Transform method,Dataset,ConfigurationFile,Train_time_ms(avg),Train_time_ms(std),Test_time_ms(avg),Test_time_ms(std),Hamming Loss,Hamming Loss Std,Subset Accuracy,Subset Accuracy Std,Macro-averaged Precision,Macro-averaged Precision Std,Macro-averaged Precision-BRCR,Macro-averaged Precision-BRCR Std,Macro-averaged Precision-PAWR,Macro-averaged Precision-PAWR Std,Macro-averaged Precision-PSFL,Macro-averaged Precision-PSFL Std,Macro-averaged Precision-RBNU,Macro-averaged Precision-RBNU Std,Macro-averaged Precision-DEJU,Macro-averaged Precision-DEJU Std,Macro-averaged Precision-OSFL,Macro-averaged Precision-OSFL Std,Macro-averaged Precision-HETH,Macro-averaged Precision-HETH Std,Macro-averaged Precision-CBCH,Macro-averaged Precision-CBCH Std,Macro-averaged Precision-VATH,Macro-averaged Precision-VATH Std,Macro-averaged Precision-HEWA,Macro-averaged Precision-HEWA Std,Macro-averaged Precision-SWTH,Macro-averaged Precision-SWTH Std,Macro-averaged Precision-HAFL,Macro-averaged Precision-HAFL Std,Macro-averaged Precision-WETA,Macro-averaged Precision-WETA Std,Macro-averaged Precision-BHGB,Macro-averaged Precision-BHGB Std,Macro-averaged Precision-GCKI,Macro-averaged Precision-GCKI Std,Macro-averaged Precision-WAVI,Macro-averaged Precision-WAVI Std,Macro-averaged Precision-MGWA,Macro-averaged Precision-MGWA Std,Macro-averaged Precision-STJA,Macro-averaged Precision-STJA Std,Macro-averaged Precision-CONI,Macro-averaged Precision-CONI Std,Macro-averaged F-Measure,Macro-averaged F-Measure Std,Macro-averaged F-Measure-BRCR,Macro-averaged F-Measure-BRCR Std,Macro-averaged F-Measure-PAWR,Macro-averaged F-Measure-PAWR Std,Macro-averaged F-Measure-PSFL,Macro-averaged F-Measure-PSFL Std,Macro-averaged F-Measure-RBNU,Macro-averaged F-Measure-RBNU Std,Macro-averaged F-Measure-DEJU,Macro-averaged F-Measure-DEJU Std,Macro-averaged F-Measure-OSFL,Macro-averaged F-Measure-OSFL Std,Macro-averaged F-Measure-HETH,Macro-averaged F-Measure-HETH Std,Macro-averaged F-Measure-CBCH,Macro-averaged F-Measure-CBCH Std,Macro-averaged F-Measure-VATH,Macro-averaged F-Measure-VATH Std,Macro-averaged F-Measure-HEWA,Macro-averaged F-Measure-HEWA Std,Macro-averaged F-Measure-SWTH,Macro-averaged F-Measure-SWTH Std,Macro-averaged F-Measure-HAFL,Macro-averaged F-Measure-HAFL Std,Macro-averaged F-Measure-WETA,Macro-averaged F-Measure-WETA Std,Macro-averaged F-Measure-BHGB,Macro-averaged F-Measure-BHGB Std,Macro-averaged F-Measure-GCKI,Macro-averaged F-Measure-GCKI Std,Macro-averaged F-Measure-WAVI,Macro-averaged F-Measure-WAVI Std,Macro-averaged F-Measure-MGWA,Macro-averaged F-Measure-MGWA Std,Macro-averaged F-Measure-STJA,Macro-averaged F-Measure-STJA Std,Macro-averaged F-Measure-CONI,Macro-averaged F-Measure-CONI Std
MIMLClassifierToMI,weka.classifiers.mi.MDD,miml.classifiers.miml.mimlTOmi.MIMLBinaryRelevance,miml_birds.arff,MIMLtoMI_BR_MDD.config,269885.2,31373.895431712015,580.4,484.28528782113546,0.09929348257521631,0.0062486261909041165,0.10889894419306186,0.045526673605654114,0.3513021189336979,0.07101997896762893,0.4,0.36800000000000005,0.6476190476190476,0.14093225623582767,0.4,0.20800000000000002,0.6,0.40800000000000003,0.0,0.0,0.0,0.0,0.4666666666666666,0.3475555555555555,0.2,0.15200000000000002,0.75,0.3375,0.26666666666666666,0.13688888888888892,0.7437878787878788,0.1372224012855831,0.6,0.40800000000000003,0.4,0.10800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.20800000000000002,0.0,0.0,0.8,0.35200000000000004,0.1911742505121113,0.034253037453417755,0.2333333333333333,0.17022222222222222,0.37006327006327006,0.12072361227406184,0.0808080808080808,0.008652178349148045,0.6,0.40800000000000003,0.0,0.0,0.0,0.0,0.12080808080808081,0.04551271094786246,0.06666666666666667,0.01688888888888889,0.28295704295704294,0.07677437735092081,0.09333333333333334,0.01176888888888889,0.53783301525237,0.11725515614773988,0.3666666666666666,0.18977777777777777,0.1738095238095238,0.014797052154195012,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.20800000000000002,0.0,0.0,0.30603174603174604,0.08323757117661879
